arme_id,nom,description,puissance,coupmax
1,IronFang,"A weapon forged in the depths of the underworld, delivering unparalleled power.",4,50
2,Stormbreaker,Crafted with precision to pierce through the toughest of armors.,10,9
3,ShadowBlade,An ancient relic imbued with the power of the elements.,5,5
4,VenomClaw,Favored by elite warriors for its deadly accuracy and balance.,10,10
5,PhoenixFlame,A legendary weapon said to hold the essence of a dragon's flame.,10,27
6,Frostbite,A chilling weapon that freezes enemies in their tracks.,1,14
7,ThunderStrike,Harnesses the fury of a thunderstorm to strike down foes.,2,10
8,InfernoRage,A devastating weapon that engulfs enemies in a fiery inferno.,3,37
9,GhostReaper,A ghostly weapon that moves as if it has a mind of its own.,7,13
10,CrimsonEdge,Razor-sharp and soaked in the blood of its enemies.,2,16
11,SoulPiercer,Infused with mystical energy to pierce the strongest shields.,5,42
12,NightHunter,A deadly bow that hunts its prey in the darkest of nights.,7,44
13,FlameTalon,Flaming talons crafted to tear through any defense.,3,36
14,ArcticFury,An icy blade capable of unleashing storms of frost.,8,44
15,VoidHammer,A hammer that crushes with the weight of a collapsing star.,2,19
16,Bloodfang,A weapon feared for its insatiable thirst for blood.,9,42
17,EclipseBow,A bow that fires arrows wreathed in the power of the eclipse.,8,16
18,LightningWhisper,"Whisper-quiet yet deadly, like lightning in the night.",5,15
19,ChaosBringer,"Bringer of chaos, feared by even the bravest warriors.",4,17
20,DoomSlayer,Slayer of demons and the bane of darkness.,5,16
21,SolarEdge,Shines with the brilliance of a thousand suns.,9,34
22,Blackthorn,A dark and thorny blade that hungers for destruction.,2,18
23,SkyPiercer,Cuts through the air with divine precision and speed.,6,40
24,AshenFury,A blade that burns with the fury of the ashes.,2,12
25,DragonClaw,"Forged in dragonfire, it leaves nothing but ruin in its path.",10,31
26,SilverVortex,A vortex of silver that slashes through the toughest foes.,5,6
27,Firestorm,A weapon that rains fire and destruction upon its enemies.,4,25
28,BlizzardLance,A lance that summons the chilling winds of a blizzard.,10,27
29,DuskBlade,"A blade that hides in the shadows, striking with deadly force.",2,20
30,IronWrath,A wrathful weapon made to crush the unworthy.,4,39
31,RavenSpire,"A spire of darkness, piercing the hearts of the wicked.",5,21
32,Starbreaker,Breaks stars and shatters hope wherever it lands.,5,17
33,Hellfire,A weapon fueled by the flames of the underworld.,3,8
34,TempestFang,"A fang of a tempest, tearing through the battlefield.",6,22
35,LunarSaber,"A saber as cold as the lunar night, deadly and swift.",8,8
36,WraithEdge,"A wraith's weapon, cutting down enemies with eerie silence.",2,35
37,SerpentStrike,"Strikes like a serpent, fast and deadly.",7,47
38,SilentReaper,Reaps the souls of those who dare to face it.,9,24
39,ThunderWrath,"Harnesses the wrath of thunder, a force of nature.",1,48
40,VoidLance,"A lance that plunges into the void, leaving no trace.",10,28
41,ShadowFury,"A blade that rages like a shadowstorm, devastating all.",7,13
42,EternalFlame,"A flame eternal, burning with unyielding strength.",6,16
43,CrystalPiercer,A piercing crystal weapon with unmatched sharpness.,1,17
44,ObsidianEdge,"Forged from obsidian, a blade of black and malice.",5,44
45,SolarSpear,A spear that shines with the light of the sun.,3,48
46,MysticDagger,A dagger infused with mystic runes for stealth and power.,8,50
47,BlazeCannon,A cannon that blazes with fiery explosions.,9,49
48,FrostHammer,"A hammer forged in frost, bringing icy death.",2,38
49,VortexRifle,"A rifle of swirling energy, delivering precise destruction.",10,18
50,DarkTalon,"A talon of darkness, quick and lethal.",8,26
